vehicle,year,fuel_type,engine_volume,vehicle_type,kpp_type,mileage,need_repair,prediction,true_value
BMW 520,2019,дизель,2.0,седан,автомат,39000.0,0,12760750.0,20000000
Toyota Land Cruiser,2013,газ-бензин,2.7,внедорожник,автомат,116000.0,0,15084374.0,13500000
Daewoo Nexia,2012,бензин,1.5,седан,механика,-999.0,0,1497130.8,1450000
Suzuki Escudo,1996,дизель,2.0,внедорожник,автомат,-999.0,0,1676189.9,2000000
Skoda Octavia,2005,бензин,1.8,лифтбек,автомат,283363.0,0,3639111.2,2590000
Infiniti QX70,2017,бензин,3.7,кроссовер,типтроник,10000.0,0,25686010.0,18500000
Volkswagen Passat,1989,бензин,1.8,универсал,механика,-999.0,0,1044967.8,1450000
Mazda 626,1990,бензин,2.0,лифтбек,механика,9999.0,0,751500.44,1000000
Toyota Hilux,2013,бензин,2.7,пикап,автомат,60000.0,0,11354096.0,10500000
Ford Aerostar,1987,бензин,3.0,минивэн,автомат,280000.0,0,2916329.5,750000
Mercedes-Benz ML 320,1998,бензин,3.2,кроссовер,автомат,-999.0,0,3576763.0,2800000
Mercedes-Benz S 500,1998,бензин,5.0,седан,автомат,-999.0,0,2886171.5,3200000
УАЗ Hunter,2018,бензин,2.7,внедорожник,механика,280000.0,0,3938000.5,4400000
Toyota Camry,1993,бензин,3.0,универсал,автомат,-999.0,0,1663398.8,1800000
Daewoo Nexia,2008,бензин,1.6,седан,механика,-999.0,0,974682.8,840000
Skoda Octavia,2019,бензин,1.8,лифтбек,робот,30000.0,0,9331330.0,9100000
Kia K7,2019,бензин,2.4,седан,автомат,30000.0,0,10690789.0,11500000
Mercedes-Benz G 63,2014,бензин,5.5,внедорожник,автомат,82000.0,0,36205636.0,38500000
Kia Cerato,2015,бензин,1.6,седан,автомат,200000.0,0,5594942.0,6000000
Toyota Granvia,2000,бензин,3.4,минивэн,автомат,-999.0,0,4597109.5,3500000
Nissan Almera Classic,2007,бензин,1.6,седан,автомат,77777.0,0,3618696.8,2900000
Nissan Murano,2008,бензин,3.5,кроссовер,вариатор,-999.0,0,5917110.0,8200000
ВАЗ (Lada) 2105,2010,бензин,1.6,седан,механика,-999.0,0,1122169.6,550000
Opel Astra,1999,бензин,1.6,седан,автомат,270000.0,0,1801321.9,2500000
Mitsubishi L200,2008,дизель,2.5,пикап,механика,178000.0,0,4689951.5,4500000
Porsche Panamera,2010,бензин,4.8,лифтбек,робот,85000.0,0,16699415.0,18000000
Mercedes-Benz G 300,1991,бензин,3.0,внедорожник,автомат,309000.0,0,2418191.0,11000000
Subaru Forester,2002,бензин,2.0,кроссовер,автомат,-999.0,0,3302335.5,3350000
Mitsubishi L300,1992,дизель,2.5,минивэн,механика,-999.0,0,1245169.5,1000000
ВАЗ (Lada) 2107,2007,бензин,1.7,седан,механика,25490.0,0,338430.88,1350000
Toyota Camry,2017,бензин,2.5,седан,автомат,120337.0,0,11566916.0,11300000
Mitsubishi Galant,1991,бензин,2.0,хэтчбек,механика,11111.0,0,836599.44,1650000
BMW X3,2010,бензин,3.0,кроссовер,автомат,126000.0,0,9875256.0,6500000
Lifan Solano,2015,газ-бензин,1.5,седан,механика,186000.0,0,3014941.2,2500000
Toyota Land Cruiser,2009,бензин,2.7,внедорожник,автомат,290000.0,0,10858926.0,12000000
Mercedes-Benz C 280,1999,бензин,2.8,универсал,механика,-999.0,0,3323828.8,2650000
Subaru Forester,1998,бензин,2.5,кроссовер,автомат,-999.0,0,2692272.5,2600000
Ford Escort,1995,бензин,1.8,хэтчбек,механика,259950.0,0,954503.9,1200000
Hyundai Accent,2014,бензин,1.6,седан,механика,188320.0,0,3681111.8,4200000
Lexus RX 350,2018,бензин,3.5,кроссовер,автомат,39000.0,0,24011076.0,27000000
Lexus RX 300,1999,бензин,3.0,кроссовер,автомат,7777.0,0,5210999.0,3600000
Mercedes-Benz Vito,1998,бензин,2.3,минивэн,автомат,-999.0,0,3096513.8,3000000
Land Rover Range,2013,бензин,3.0,внедорожник,автомат,130000.0,0,21489906.0,22000000
Kia Sorento,2005,дизель,2.5,внедорожник,автомат,210000.0,0,5318297.0,3200000
Mitsubishi Legnum,1997,бензин,2.5,универсал,автомат,-999.0,0,2101026.8,2500000
Toyota Land Cruiser,1992,дизель,2.5,внедорожник,автомат,-999.0,0,3749903.8,3800000
Subaru Forester,2007,бензин,2.5,кроссовер,типтроник,-999.0,0,5615568.0,5300000
Toyota Carina E,1993,бензин,2.0,лифтбек,механика,-999.0,0,1560992.2,1450000
Toyota Avalon,2007,бензин,3.5,седан,автомат,-999.0,0,5476525.5,5450000
Mercedes-Benz E 280,1994,бензин,2.8,седан,автомат,-999.0,0,2420340.0,2700000
Lexus RX 300,2001,бензин,3.0,кроссовер,автомат,-999.0,0,5120883.0,4900000
Mercedes-Benz E 280,1997,бензин,2.8,седан,механика,12345.0,0,2626253.2,2500000
Nissan Maxima,2001,бензин,3.0,седан,автомат,300000.0,0,3458386.8,2350000
Lincoln Navigator,2005,бензин,5.4,внедорожник,автомат,200000.0,0,6191650.0,6200000
BMW 530,1995,бензин,3.0,седан,автомат,330.0,0,2656392.2,4000000
Mercedes-Benz E 200,2018,бензин,2.0,седан,автомат,52000.0,0,18746194.0,15800000
Volkswagen Polo,2014,бензин,1.6,седан,автомат,198000.0,0,4906296.0,4250000
Toyota Camry,2010,бензин,2.5,седан,автомат,300000.0,0,6382322.5,4100000
Mitsubishi Challenger,1997,бензин,3.0,внедорожник,автомат,-999.0,0,3129410.2,4000000
Toyota Land Cruiser,2005,бензин,4.5,внедорожник,механика,176000.0,0,9803289.0,13600000
Land Rover Range,2016,бензин,5.0,внедорожник,автомат,130000.0,0,37183196.0,37000000
Mercedes-Benz E 240,2000,бензин,2.4,седан,автомат,-999.0,0,3003505.8,4000000
Mercedes-Benz C 180,1993,бензин,1.8,седан,механика,-999.0,0,1387783.5,1550000
Volkswagen Passat,2007,бензин,2.0,седан,автомат,415215.0,0,3586093.0,3000000
Mercedes-Benz GLS 400,2017,бензин,3.0,внедорожник,автомат,75000.0,0,27251372.0,29800000
Mercedes-Benz E 500,2002,бензин,5.0,седан,автомат,100000.0,0,5441764.5,5000000
Renault Logan,2015,бензин,1.6,седан,механика,-999.0,0,3147112.2,3700000
Toyota Corolla,2011,бензин,1.8,седан,автомат,196000.0,0,5768276.0,5800000
Москвич 412,1978,бензин,1.5,седан,механика,199000.0,0,712065.6,800000
Opel Omega,1998,бензин,3.0,седан,автомат,300000.0,0,2966887.8,2000000
Mercedes-Benz S 500,1996,бензин,5.0,седан,автомат,-999.0,0,3186230.0,3300000
BMW 520,1991,бензин,2.0,седан,механика,123456.0,0,1179378.2,950000
Honda CR-V,1996,бензин,2.0,кроссовер,автомат,-999.0,0,2841044.2,2500000
BMW X6,2008,бензин,3.0,кроссовер,автомат,-999.0,0,7021448.0,5900000
Toyota Land Cruiser,2008,бензин,4.7,внедорожник,автомат,270000.0,0,13809858.0,14500000
Hyundai Starex,2002,дизель,2.5,минивэн,механика,-999.0,0,3470485.0,2750000
Mazda 626,1992,бензин,2.5,лифтбек,автомат,358000.0,0,1171972.6,1100000
Mercedes-Benz E 55,2005,бензин,5.5,седан,автомат,-999.0,0,7557238.0,10000000
Honda Odyssey,2001,бензин,2.3,минивэн,автомат,-999.0,0,2251562.0,2000000
Porsche Cayenne,2008,бензин,3.6,кроссовер,автомат,132000.0,0,8786297.0,7690000
Mitsubishi Galant,1990,бензин,2.0,хэтчбек,механика,-999.0,0,884671.3,800000
Toyota Corolla,2013,бензин,1.3,седан,механика,102000.0,0,4519713.0,5200000
BMW 535,2008,бензин,3.0,седан,автомат,115000.0,0,5618492.5,7800000
Nissan Qashqai,2017,бензин,2.0,кроссовер,автомат,65914.0,0,10943912.0,8130000
Mercedes-Benz C 200,1996,бензин,2.0,седан,автомат,-999.0,0,2008562.4,1800000
Toyota Corolla,2010,бензин,1.8,седан,автомат,-999.0,0,5226341.5,5700000
Toyota Windom,2001,бензин,2.5,седан,автомат,-999.0,0,2868154.5,2750000
Peugeot 306,1993,бензин,1.4,хэтчбек,механика,-999.0,0,768741.0,980000
Kia Cerato,2013,бензин,1.6,седан,автомат,144000.0,0,5223217.5,5900000
Mercedes-Benz 190,1990,бензин,2.0,седан,автомат,300000.0,0,1270982.5,870000
Toyota RAV 4,2019,бензин,2.5,кроссовер,типтроник,25998.0,0,13509984.0,14700000
Renault 21,1991,бензин,1.7,универсал,механика,274000.0,0,660272.0,1100000
Kia Cee’d,2013,бензин,1.6,хэтчбек,типтроник,108000.0,0,4818788.0,5200000
Hyundai Starex,2007,дизель,2.5,минивэн,механика,377000.0,0,5839700.0,3100000
Nissan Altima,2003,бензин,2.5,седан,автомат,-999.0,0,2517358.0,2800000
Subaru Legacy,1999,бензин,2.0,универсал,автомат,-999.0,0,2378744.2,2400000
ГАЗ ГАЗель,1999,газ-бензин,2.4,фургон,механика,-999.0,0,2171818.8,1800000
BMW 525,1994,бензин,2.5,седан,механика,100.0,0,2193759.2,2200000
Opel Monterey,1994,бензин,3.2,внедорожник,механика,-999.0,0,2154460.5,2200000
BMW 525,1992,бензин,2.5,седан,механика,326365.0,0,1842320.5,1850000
Mercedes-Benz E 320,1994,бензин,3.2,седан,автомат,350000.0,0,2801698.2,3000000
Subaru XV,2013,бензин,2.0,кроссовер,вариатор,112000.0,0,6665339.5,7700000
Daewoo Matiz,2012,бензин,0.8,хэтчбек,механика,120000.0,0,1454638.2,1550000
Mitsubishi Galant,1999,бензин,2.0,седан,автомат,-999.0,1,946086.2,500000
Subaru Legacy,1997,бензин,2.5,универсал,автомат,-999.0,0,2102965.5,1600000
Toyota Carina ED,1995,бензин,2.0,седан,автомат,-999.0,0,1599569.6,1600000
Hyundai Getz,2007,бензин,1.4,хэтчбек,автомат,-999.0,0,2898327.2,3300000
Lexus RX 300,2001,бензин,3.0,кроссовер,автомат,-999.0,0,5120883.0,5500000
Mitsubishi Galant,1990,бензин,2.0,седан,механика,-999.0,0,870738.56,450000
Toyota Highlander,2011,газ-бензин,3.5,кроссовер,автомат,-999.0,0,10761003.0,7600000
Mercedes-Benz Sprinter,1998,дизель,2.9,фургон,механика,806949.0,0,3647628.8,3400000
BMW 520,1995,бензин,2.0,седан,механика,-999.0,0,1648532.2,1750000
Audi 100,1988,бензин,2.2,седан,механика,999999.0,0,1065223.5,750000
BMW X5,2001,бензин,4.4,кроссовер,автомат,220000.0,0,3952844.0,3850000
Volkswagen Jetta,2013,бензин,2.0,седан,автомат,152000.0,0,6366710.5,5500000
Audi 80,1992,бензин,2.3,седан,автомат,999999.0,0,1226434.6,1000000
Toyota Highlander,2006,бензин,3.3,кроссовер,автомат,240000.0,0,7614669.5,7200000
Kia Cee’d,2008,бензин,1.6,хэтчбек,автомат,-999.0,0,3361730.8,3000000
Lexus RX 330,2004,бензин,3.3,кроссовер,автомат,233500.0,0,7027142.0,7200000
Subaru Outback,1997,бензин,2.5,универсал,автомат,-999.0,0,2604100.0,2500000
Mitsubishi L200,2013,дизель,2.5,пикап,механика,249500.0,0,6768330.0,6700000
Mercedes-Benz ML 500,2006,бензин,5.0,кроссовер,автомат,300000.0,0,5778139.5,5500000
Volkswagen Passat,1995,бензин,2.0,универсал,автомат,475642.0,0,1780338.0,1900000
Toyota Camry,1997,бензин,2.2,седан,автомат,2345.0,0,2919383.5,3000000
Mitsubishi Grandis,2007,бензин,2.4,минивэн,автомат,500000.0,0,5072313.0,4600000
Lexus RX 330,2003,бензин,3.3,кроссовер,автомат,-999.0,0,6243755.0,6500000
Mitsubishi Pajero,2011,бензин,3.0,внедорожник,автомат,-999.0,0,10028155.0,10300000
Volkswagen Passat,2020,бензин,2.0,седан,автомат,11000.0,0,13399491.0,13700000
Toyota Camry,1998,бензин,2.2,седан,автомат,-999.0,0,3111031.8,2200000
Mazda Bongo,1996,дизель,2.2,минивэн,автомат,-999.0,0,2340213.0,2100000
Land Rover Range,2018,бензин,3.0,внедорожник,автомат,34379.0,0,39143656.0,43100000
Kia Rio,2019,бензин,1.6,седан,автомат,-999.0,0,7066213.0,7000000
Mercedes-Benz S 500,1997,газ-бензин,5.0,седан,автомат,-999.0,0,2880949.8,3000000
Mitsubishi Delica,2007,бензин,2.4,минивэн,вариатор,-999.0,0,4778527.5,7500000
Toyota Land Cruiser,2004,бензин,4.7,внедорожник,автомат,-999.0,0,8392348.0,9500000
Volkswagen Caddy,2012,бензин,1.2,минивэн,механика,-999.0,0,3656322.5,3600000
Volvo S60,2003,бензин,2.5,седан,механика,222000.0,0,2460544.2,3000000
Toyota Mark II,1997,бензин,2.0,седан,автомат,-999.0,0,2300601.0,2100000
Hyundai Starex,2002,дизель,2.5,минивэн,механика,-999.0,0,3470485.0,2800000
Mercedes-Benz S 500,2006,бензин,5.5,седан,автомат,190000.0,0,6610950.0,10000000
Toyota Corolla,1989,бензин,1.6,седан,механика,445000.0,0,1007622.75,600000
BMW 525,1995,бензин,2.5,седан,механика,452538.0,1,1709805.8,1500000
Daewoo Gentra,2014,бензин,1.5,седан,механика,-999.0,0,2844864.0,3000111
Toyota Highlander,2011,бензин,2.7,кроссовер,автомат,171000.0,0,9653609.0,11500000
Lexus GS 300,2010,бензин,3.0,седан,автомат,146000.0,0,8733410.0,7900000
Honda Rafaga,1995,бензин,2.0,седан,автомат,-999.0,0,1464869.1,1350000
Kia Cerato,2011,газ-бензин,1.6,седан,автомат,-999.0,0,4656763.5,4400000
ВАЗ (Lada) Priora,2014,бензин,1.6,седан,механика,-999.0,0,2553835.0,2400000
BMW 750,2009,бензин,4.4,седан,автомат,140451.0,0,8383723.5,7590000
Toyota Noah,2006,бензин,2.0,минивэн,автомат,-999.0,0,3840797.0,2750000
Opel Vectra,1999,бензин,2.5,хэтчбек,автомат,250000.0,0,2226741.5,2200000
Kia Rio,2019,бензин,1.6,седан,автомат,380000.0,0,5597243.0,6500000
Mercedes-Benz E 230,1992,бензин,2.3,седан,механика,-999.0,0,1403173.8,1250000
Toyota Land Cruiser,2004,дизель,3.0,внедорожник,механика,639556.0,0,6786476.0,6450000
Lexus GS 300,2005,бензин,3.0,седан,автомат,269000.0,0,5031826.0,5200000
Mitsubishi Space Wagon,1992,бензин,1.8,минивэн,механика,425030.0,0,1398405.0,1650000
Nissan Primera,1997,бензин,2.0,седан,механика,350000.0,0,1443218.1,1300000
Mercedes-Benz E 200,1992,бензин,2.0,седан,автомат,268000.0,0,1818242.2,2200000
Toyota RAV 4,2015,бензин,2.5,кроссовер,автомат,170000.0,0,9964169.0,11300000
Mitsubishi Pajero,1993,дизель,2.5,внедорожник,автомат,-999.0,0,2012787.9,1600000
Toyota Camry,1994,бензин,3.0,универсал,автомат,-999.0,0,2151810.8,1750000
Hyundai Sonata,2002,газ-бензин,2.0,седан,механика,200.0,0,1608695.1,1500000
